cleaned_stemmed,sentiment_prediction
saing lawan tim kuat eropa iya timnas indo pakai main turun klub eropa sisa lojal abroad negeri timnas indo kalah korsel obat pakai latih korsel contoh laga piala asia timnas indo kalah korsel alias double kill mana korsel campak coach stb skrg indo kalah korsel turut arab saudi level tim kuat eropa amerika latin shgga timnas indo alhamdulillah imbang arab saudi kandang timnas indo lolos pildun lihat batas kuat sepak bola dunia timnas indo imbang tim kuat eropa amerika latin pildun,positive
timnaskuuhh,positive
alhamdulillah allahuma shali ala sayyidina muhammad waala ali sayyidina muhammad,positive
takut lawan australia ayo bukti timnas indonesia lolos piala dunia,negative
arab panik hahahahhahahahha,negative
indonesia butuh main forward jitu,positive
pala botak keren maen,positive
paes pd onana,negative
hebat arab saudi nahan imbang indonesia,positive
striker bagus panggil raven cadang salah,positive
save best paes congratulation,positive
sayang main lokal,positive
pesan komentator bola rcti banyak dongeng,positive
bangga timnas garuda lawan sulit skor suporter timnas moga timnas senior lolos piala dunia mantabb,positive
please protes hujat main karna udah totalitas away inget away lingkung beda,negative
sayang sempat umpan rafael struick akurat lemah oke mental dunia bravo moga lawan australia raih menang aamiin,negative
main moga tular main lokal,positive
menang akrena keper cebol,positive
jam hadirin jum bahagia,positive
mancini coeg,positive
sty latih kelas dunia anda kalah tetep apresiasi karna main timnas bentuk terap sepak bola modern,positive
bangga lihat indonesia ku kelas arab saudi,positive
penasaran komentar media vietcong,negative
alhamdulilah tim juang bela negara dunia moga maju dukung,positive
terima kasih kerja keras tenaga tingkat,positive
mantap garuda tahan tuan rumah arab saudi anggap remeh garuda senior,positive
witan sulaeman wajib ganti piala dunia bagus,positive
sepakbola indonesia jalan,positive
arab saudi main brutal moga laknat allah swt,negative
rugi begadang nonton model main,negative
vietnam menang,positive
tanding away serasa home main ngotot tahan terima kasih timnas indonesia untung pihak niscaya curi points tanah arab,positive
sayang main banyak orang asli indo,positive
terima kasih timnas terima kasih rcti highlight,positive
kliatan banget level main main natrulisasinya ganti kualitas nyata main lokal bawah,positive
indah sepak bola era sty,positive
komentator lucu,positive
sblm main tim kelas pildun timnasnya hnya nyampe stngh lapang doang loss full,negative
bisa arab saudi nahan imbang timnas indonesia,positive
zona marking offside trap disiplin pol gila mantap habis,positive
udah tau skor asli jantung nontonnya teriak teriakk,negative
upload jt view timnas indonesia,positive
gilaa negara asia tenggara kenal kuat thailan vietnam kena bantai arab king indo tahan imbang laga away cetak gol duluan terbang lahh garudaakuu,negative
negara gurun pasir jago nyelem alias diving,positive
mantap mantap mantap timnas indonesia lakon world cup class,positive
highlight menit ajig,positive
malam telat jam nonton,neutral
babak indonesia main madrid njir,positive
efek positif perintah resmi ibukota nusantara tanggal september,positive
manchini lngsng doyan ngopi australia wajib ketar tir besok gbk ganyang,positive
babak bagus mai latih main arab stress,positive
next match indonesia nih,positive
timnas peluang bikin killing goal moment serang babak menit jelang laga sayang gagal maksimal hasil imbang modal harga aplg indon non unggul sgt syukur hasil maju pantang mundur,negative
point kandang lawan lumayan bagus hadap tanding,positive
good joob,positive
bravo indonesia garuda merah putih dukung sabang merauke maju pantang serah,positive
komentator inggris min biar vibes pildun rasa kualifikasi,positive
alhamdulillah timnas hasil curi poin tanah suci,positive
mantap bener highlight gol potong tampilin,positive
timnas indonesia tahan imbang markas saudi arabia sukses timnas indonesia,positive
masyaallah masyaallah masyaallah alhamdulillah syukur terima kasih allahumma sholli ala sayyidina muhammad moga baik bangsa,positive
malaysia ketar tir lihat,positive
semangat timnas indonesia moga sukses,positive
kira martin paes martin nueuer,negative
indonesia eropa bule main,positive
gila keren habis timnas main rugi begadang,negative
moga indonesia remeh indonesia main lepas tampa beban curi poin,positive
nonton indo nnton timnas belanda nih kerenn,positive
witan keren bngt maen umpan,positive
mntap,negative
rame uy,positive
hasil imbang timbang negara,positive
progres saudi imbang timnas,positive
towel gatel suara,positive
thanks maarten paes salah mnjdi panalti nebus save bobol salah keeper ubah arah bola,negative
nfas indonesia capek bnget,negative
keren,positive
haru juang timnas garuda pantang serah main kandang arab saudi main sungguh bukti gol cipta skema lini salut garuda kibar terbang langit,positive
nua indonesia mang klnaja gol arab kena block verdong,positive
main indonesia,positive
juang keras terinakasih timnas,negative
ragnar tunjuk kelas eropa jozz wak aji,positive
asa nonton timnas belanda versus arab gaya main rapih,positive
indosiar sctv gamau kaya gin highlight tuh lihat jam upload udah juta views ajar tv belah,positive
set indonesia win gas indo,positive
sisi riski ridho sasar main arab lepas tampil bagus riski ridho ap biar kuat mental usia muda,positive
mantap garuda lanjutkann,positive
beda banget main abroad lokal,positive
sigundul mental bagus,positive
win battle lose war,positive
nonton timnas susah amet masyarakat tv,negative
arab saudi tim langgan pildun main gentar jalan pola main tekan peluang serang tinggal dirapiin dikit serang kontrol bola finishingnya sharpshooter mantul lolos,positive
ahmad dhani main bek kiri,positive
kayak arhan sakit hati karna selingkuh zizah,negative
lihat bukti kandang lawan unggul duluan main timnas indonesia sungguh latih roberto mancini ketar tir alhamdulillah poin,positive
paes kiper kaleng bru debut msh miskomunikasi,positive
indonesia udah rapi main dunia lolos ronde kualifikasi piala dunia shin tae yong,positive
anggap pildun musuh langgan piala dunia gagal round lumayan,negative
sadar thom haye sepatu putih,negative
tanah suci versus tanah air,negative
muka roberto mancini panik,negative
babak maenya bagus babak main lokal masuk bikin jantung copot,positive
kereen suka bawa acara,positive
towel mana,positive
alhamdulillah bagus tanding round point salut juang main latih official timnas federasi pssi suporter dukung arab proses timnas laga bangga timnas merinding main babak gempur habis arab saudi salut juang main timnas mati lelah jaga gawang bobol sia sia martin paes debut gokil amazing nyala bang paes solid juang timnasku moga harap masuk piala dunia main cantik,positive
banggaa,positive
maju indonesia,positive
luuaar timnas seporter indonesia moga tanding lawan australia amiin,positive
arab saudi versus belanda,positive
rcti beli tv license premier league iya highlightnya menit,positive
bangga terbang garuda kejar mimpi,negative
woow botak woow gacor gol gol gol,positive
gimna malingsia strokk ringan lihat indo,positive
iya gaesekiya,positive
main timnas,positive
aku jersey erspo bawa hoki,positive
yees sangudi arabian tahan imbang tim nas garuda muda indonesian,negative
bukti natiralisasi sia pilih latih bagus,positive
gilaakk kereen buangeett,negative
timnas istimewa,positive
trimakasih main turun indonesia belanda jiwa patriot moga hasil hidup indo belanda,positive
timnas solid,positive
sejarah,positive
bek arab saudi kelimpungan tabrak teman bahlul,negative
orang bodoh bangga negara joki orang asing,negative
timnas main supporterr timur salut hormat,positive
lepas senang kali lihat main timnas senang bulayhi nak sikut perut oratmangon wakil fans ronaldo,positive
wasit kntll,negative
mantaab bang faiz mantabb rekan garuda semuaa,positive
lihat timnas bgni jaman mulyono,positive
seru bangga timnas indonesia biasaa,positive
arab emosi kah main indonesia,negative
mantab timnasku gokil,positive
keerreenn timnas indonsia alhamdulillah raih pointelawan tim favorit saudi arabia moga timnas lolos piala dunia,positive
bgs thn imbang saudi pangling timnas indo ap belanda,positive
botak botak nyala,negative
indonesia otw piala dunia aamiin haru tetes air mata terbang garuda,negative
proud,positive
juang timnas indonesia jempol deh,positive
beda cerita bobol penalti habis paes rujak nitijen konoha goodjob garuda,negative
ronaldo latih fisik indonesia gaes,positive
bangsa arab duit kenceng wasit gabisa nolak pihak,negative
kiper indonesia gg,positive
sandy daboyy,positive
smoga hasil imbang smakin tingkat smangat prjuangan main hebat indonesia iya allah wujud impi indonesia brlaga piala dunia aamiin,positive
main gbk versus australia indonesia poin,positive
marten paes lihat kelas bobol gol tendang finalty arab saudi tepis indonesia jaya,positive
arab goalnya hoki doang,positive
timnas udah bagus nih klub konoha bebena,positive
pinalti gara taqyah berkah,positive
fix mancini sombong jabat tangan sty tanding level udah beda,negative
mantap semangat garuda,positive
aduh mimpi timnas main level dunia iya allah muda han timnas lolos pildun amin,positive
mantep bro,positive
islam ktp versus islam pusat imbang,negative
komentar ganti asik netral suka bagus bagus sin main lawan,positive
momen pinalti meneggangkan huff,negative
untung sembunyi jajah belanda,positive
kerja masuk pagi rela tidur nonton timnas indonesia main rugi nonton marten paes kece parah main,negative
terima kasih sepupu erik tohir tangan cipta latih staf main jadi banggan rakyat indonesia nuhun kang,positive
salut marteen paes blok serang serang arab kiper tenang alam salut main juang keras,positive
main bule,positive
gila emang timnas kelas arab latih kaleng kaleng lho roberto mancini bawa italia juara eropa tahan kandang bangga timnas peduli naturalisasi indonesia,positive
lihat yallashoot liat banget komentator bela negara wak pas indonesia nyerang gagal mamang komentar langsung bilang bravo bravo bravo arabiah,positive
gol arab trmasuk hoki skema bahaya kena badan gol,negative
nyala tim nas ku,positive
paruh darah merah putih nampak juang kuat tenaga bukti merah putih salut juang terima kasih,positive
udah nontol full semalem sangking bangga timnas keren nonton cuplik next bismillah point gbk,negative
bravo timnas amazing lha,positive
sekolah dasar nonton dag dig dug deg degan apalg pas finalty paes lawan paes tunjuk kelas moga untung serta timnas garuda terbang garuda kuh,negative
hiyess alhamdulillah punggawa timnas,positive
timnas mantap,positive
ernando ari bawah mistar beda cerita hasil bsa arab,positive
deg degan nonton lawan arab,negative
ttp solid juang timnasku tunggu piala dunia moga wujud iya allah aamiin,positive
finish peringkat jepang senang karna langsung lolos piala dunia sedih karna tunggu lihat timnass main,positive
doa indonesia masuk pildun,positive
dh gd main asli indonya sisa ridho witan doang msih maen,positive
gacor paes,negative
jamaah sidang jumat bahagia,positive
ragnarr,positive
progres main indonesia hebat mental main berani main kalah berani kuasa bola duel kalah gampang hilang bola,negative
main bagus push indonesia mantap,positive
mantap keren cuy laga seru adu taktik latih hebat defend serang hebat alhamdulillah timnas point kandang lawan kenal seram main serasa kandang indonesia bravo timnas indonesia legenda jaman tiap tanding timnas indonesia tanding,positive
uban beut,negative
kiper timnas bluunder layak penjawa gawang utama,positive
mantabb stiker pakai tohir,positive
maju semangat garuda indonesia dukung,positive
super ragnarr,positive
maarten paes,positive
keren habis moga konsisten timnas cetak goall,positive
keren timnas lawan negara langgan pildun udah imbang lawan,negative
lihat timnas babak gilak timnas indonesia nih tahan rapi build lancar one touch pass jalan banding arab salah umpan salah kontrol ku lihat main timnas babak level eropa main akurasi passing bulid jalan moga konsisten maen gitu bismillah busa lolos piala dunia,negative
timnas garuda sty bukti jitu olah statistik pasu witan babak tuju curi point anda marcelino stater peluang curi point tipis lino andal individu egois sty pasang witan sty witan ego witan gerak assist good joob sty timnas garuda martin paes tanding perdana timnas garuda jelma man match,positive
timnas kereen sekrang nyerang truss bagus bngt bantai,positive
ragnar versus arab,positive
naah main bela tanah air suatu tidak menang bully yaw dukung kalah menang bangga juang titik anggap juara bravo tim nas indonesia,positive
indonesia kaget top asia saudi arabia main tandang saudi saudi hipnotis main indonesia bukti sty top strategi,positive
